ilkid,firstname,lastname,leag,Season_Effic,Season_FG_rate,Season_FT_rate,Season_PTS_rate,Playoffs_Effic,Playoffs_FG_rate,Playoffs_FT_rate,Playoffs_PTS_rate
GLENNMI01,Mike,Glenn,N,7.318718381112985,0.5422320686790363,0.8550074738415545,0.46750545908287405,3.909090909090909,0.45348837209302323,0.9047619047619048,0.3288135593220339
GLOVECL01,Clarence,Glover,N,0.88,0.45454545454545453,0.46875,0.5462184873949579,0.6666666666666666,0.3333333333333333,1.0,0.6
GMINSMI01,Mike,Gminski,N,14.343283582089553,0.4651265612910357,0.8431045969353764,0.45527475268102086,13.257142857142858,0.4852459016393443,0.7950819672131147,0.42857142857142855
GOLATO01,Tom,Gola,N,9.027220630372494,0.43062618044457357,0.7601721439749609,0.3493719206356252,7.358974358974359,0.33649289099526064,0.7708333333333334,0.2938775510204082
GONDRGL01,Glen,Gondrezick,N,9.07816091954023,0.47317544707588205,0.7236679058240396,0.3371769383697813,5.0,0.43103448275862066,0.6153846153846154,0.31016042780748665
GOODEDR01,Drew,Gooden,N,14.670995670995671,0.46606512357787366,0.7257653061224489,0.4552135966926964,17.714285714285715,0.4,0.7222222222222222,0.4224137931034483
GOODRGA01,Gail,Goodrich,N,14.949563530552862,0.45588957055214724,0.80668658946582,0.5721060637694992,12.7125,0.4417277913610432,0.8187919463087249,0.5530129672006102
GORDOBE01,Ben,Gordon,N,10.146341463414634,0.4109848484848485,0.8629629629629629,0.6168831168831169,10.5,0.40540540540540543,0.8,0.5686274509803921
GOVANGE01,Gerald,Govan,A,6.5624082232011745,0.40506807866868383,0.6779422128259338,0.22905125408942204,4.590909090909091,0.38028169014084506,0.6972477064220184,0.23523316062176167
GRABOJO01,Joe,Graboski,N,4.046153846153846,0.35163371914370584,0.7003191180736873,0.40944187072578864,3.051282051282051,0.33192389006342493,0.7352941176470589,0.39613034623217924
GRAHAGR01,Greg,Graham,N,3.7246376811594204,0.4071340713407134,0.7747440273037542,0.3707509881422925,2.1666666666666665,0.2857142857142857,0.75,0.27906976744186046
GRAHAMA01,Mal,Graham,N,1.7,0.39755351681957185,0.6568627450980392,0.3678290213723285,0.0,0.2857142857142857,0.3333333333333333,0.2
